abs	[#number#]abs(<#mixed $number#>)
mqseries_connx	[#void#]mqseries_connx(<#string $qManagerName#>,<#array &$connOptions#>,<#resource &$hconn#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_disc	[#void#]mqseries_disc(<#resource $hconn#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_get	[#void#]mqseries_get(<#resource $hConn#>,<#resource $hObj#>,<#array &$md#>,<#array &$gmo#>,<#int &$bufferLength#>,<#string &$msg#>,<#int &$data_length#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_inq	[#void#]mqseries_inq(<#resource $hconn#>,<#resource $hobj#>,<#int $selectorCount#>,<#array $selectors#>,<#int $intAttrCount#>,<#resource &$intAttr#>,<#int $charAttrLength#>,<#resource &$charAttr#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_open	[#void#]mqseries_open(<#resource $hconn#>,<#array &$objDesc#>,<#int $option#>,<#resource &$hobj#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_put1	[#void#]mqseries_put1(<#resource $hconn#>,<#resource &$objDesc#>,<#resource &$msgDesc#>,<#resource &$pmo#>,<#string $buffer#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_put	[#void#]mqseries_put(<#resource $hConn#>,<#resource $hObj#>,<#array &$md#>,<#array &$pmo#>,<#string $message#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_set	[#void#]mqseries_set(<#resource $hconn#>,<#resource $hobj#>,<#int $selectorcount#>,<#array $selectors#>,<#int $intattrcount#>,<#array $intattrs#>,<#int $charattrlength#>,<#array $charattrs#>,<#resource &$compCode#>,<#resource &$reason#>)
mqseries_strerror	[#string#]mqseries_strerror(<#int $reason#>)
m_responsekeys	[#array#]m_responsekeys(<#resource $conn#>,<#int $identifier#>)
m_responseparam	[#string#]m_responseparam(<#resource $conn#>,<#int $identifier#>,<#string $key#>)
m_returnstatus	[#int#]m_returnstatus(<#resource $conn#>,<#int $identifier#>)
msession_connect	[#bool#]msession_connect(<#string $host#>,<#string $port#>)
msession_count	[#int#]msession_count()
msession_create	[#bool#]msession_create(<#string $session#>,<#string $classname#>,<#string $data#>)
msession_destroy	[#bool#]msession_destroy(<#string $name#>)
msession_disconnect	[#void#]msession_disconnect()
msession_find	[#array#]msession_find(<#string $name#>,<#string $value#>)
msession_get_array	[#array#]msession_get_array(<#string $session#>)
msession_get_data	[#string#]msession_get_data(<#string $session#>)
msession_get	[#string#]msession_get(<#string $session#>,<#string $name#>,<#string $value#>)
msession_inc	[#string#]msession_inc(<#string $session#>,<#string $name#>)
msession_list	[#array#]msession_list()
msession_listvar	[#array#]msession_listvar(<#string $name#>)
msession_lock	[#int#]msession_lock(<#string $name#>)
msession_plugin	[#string#]msession_plugin(<#string $session#>,<#string $val#>,<#string $param#>)
msession_randstr	[#string#]msession_randstr(<#int $param#>)
msession_set_array	[#void#]msession_set_array(<#string $session#>,<#array $tuples#>)
msession_set	[#bool#]msession_set(<#string $session#>,<#string $name#>,<#string $value#>)
msession_set_data	[#bool#]msession_set_data(<#string $session#>,<#string $value#>)
msession_timeout	[#int#]msession_timeout(<#string $session#>,<#int $param#>)
msession_uniq	[#string#]msession_uniq(<#int $param#>,<#string $classname#>,<#string $data#>)
msession_unlock	[#int#]msession_unlock(<#string $session#>,<#int $key#>)
m_setblocking	[#int#]m_setblocking(<#resource $conn#>,<#int $tf#>)
m_setdropfile	[#int#]m_setdropfile(<#resource $conn#>,<#string $directory#>)
m_setip	[#int#]m_setip(<#resource $conn#>,<#string $host#>,<#int $port#>)
m_setssl_cafile	[#int#]m_setssl_cafile(<#resource $conn#>,<#string $cafile#>)
m_setssl_files	[#int#]m_setssl_files(<#resource $conn#>,<#string $sslkeyfile#>,<#string $sslcertfile#>)
m_setssl	[#int#]m_setssl(<#resource $conn#>,<#string $host#>,<#int $port#>)
m_settimeout	[#int#]m_settimeout(<#resource $conn#>,<#int $seconds#>)
msg_get_queue	[#resource#]msg_get_queue(<#int $key#>,<#int $perms#>)
msg_queue_exists	[#bool#]msg_queue_exists(<#int $key#>)
msg_receive	[#bool#]msg_receive(<#resource $queue#>,<#int $desiredmsgtype#>,<#int &$msgtype#>,<#int $maxsize#>,<#mixed &$message#>,<#bool $unserialize#>,<#int $flags#>,<#int &$errorcode#>)
msg_remove_queue	[#bool#]msg_remove_queue(<#resource $queue#>)
msg_send	[#bool#]msg_send(<#resource $queue#>,<#int $msgtype#>,<#mixed $message#>,<#bool $serialize#>,<#bool $blocking#>,<#int &$errorcode#>)
msg_set_queue	[#bool#]msg_set_queue(<#resource $queue#>,<#array $data#>)
msg_stat_queue	[#array#]msg_stat_queue(<#resource $queue#>)
msql_affected_rows	[#int#]msql_affected_rows(<#resource $result#>)
msql_close	[#bool#]msql_close(<#resource $link_identifier#>)
msql_connect	[#resource#]msql_connect(<#string $hostname#>)
msql_create_db	[#bool#]msql_create_db(<#string $database_name#>,<#resource $link_identifier#>)
msql_data_seek	[#bool#]msql_data_seek(<#resource $result#>,<#int $row_number#>)
msql_db_query	[#resource#]msql_db_query(<#string $database#>,<#string $query#>,<#resource $link_identifier#>)
msql_drop_db	[#bool#]msql_drop_db(<#string $database_name#>,<#resource $link_identifier#>)
msql_error	[#string#]msql_error()
msql_fetch_array	[#array#]msql_fetch_array(<#resource $result#>,<#int $result_type#>)
msql_fetch_field	[#object#]msql_fetch_field(<#resource $result#>,<#int $field_offset#>)
msql_fetch_object	[#object#]msql_fetch_object(<#resource $result#>)
msql_fetch_row	[#array#]msql_fetch_row(<#resource $result#>)
msql_field_flags	[#string#]msql_field_flags(<#resource $result#>,<#int $field_offset#>)
msql_field_len	[#int#]msql_field_len(<#resource $result#>,<#int $field_offset#>)
msql_field_name	[#string#]msql_field_name(<#resource $result#>,<#int $field_offset#>)
msql_field_seek	[#bool#]msql_field_seek(<#resource $result#>,<#int $field_offset#>)
msql_field_table	[#int#]msql_field_table(<#resource $result#>,<#int $field_offset#>)
msql_field_type	[#string#]msql_field_type(<#resource $result#>,<#int $field_offset#>)
msql_free_result	[#bool#]msql_free_result(<#resource $result#>)
msql_list_dbs	[#resource#]msql_list_dbs(<#resource $link_identifier#>)
msql_list_fields	[#resource#]msql_list_fields(<#string $database#>,<#string $tablename#>,<#resource $link_identifier#>)
msql_list_tables	[#resource#]msql_list_tables(<#string $database#>,<#resource $link_identifier#>)
msql_num_fields	[#int#]msql_num_fields(<#resource $result#>)
msql_num_rows	[#int#]msql_num_rows(<#resource $query_identifier#>)
msql_pconnect	[#resource#]msql_pconnect(<#string $hostname#>)
msql_query	[#resource#]msql_query(<#string $query#>,<#resource $link_identifier#>)
msql_result	[#string#]msql_result(<#resource $result#>,<#int $row#>,<#mixed $field#>)
msql_select_db	[#bool#]msql_select_db(<#string $database_name#>,<#resource $link_identifier#>)
m_sslcert_gen_hash	[#string#]m_sslcert_gen_hash(<#string $filename#>)
mssql_bind	[#bool#]mssql_bind(<#resource $stmt#>,<#string $param_name#>,<#mixed &$var#>,<#int $type#>,<#bool $is_output#>,<#bool $is_null#>,<#int $maxlen#>)
mssql_close	[#bool#]mssql_close(<#resource $link_identifier#>)
mssql_connect	[#resource#]mssql_connect(<#string $servername#>,<#string $username#>,<#string $password#>,<#bool $new_link#>)
mssql_data_seek	[#bool#]mssql_data_seek(<#resource $result_identifier#>,<#int $row_number#>)
mssql_execute	[#mixed#]mssql_execute(<#resource $stmt#>,<#bool $skip_results#>)
mssql_fetch_array	[#array#]mssql_fetch_array(<#resource $result#>,<#int $result_type#>)
mssql_fetch_assoc	[#array#]mssql_fetch_assoc(<#resource $result_id#>)
mssql_fetch_batch	[#int#]mssql_fetch_batch(<#resource $result#>)
mssql_fetch_field	[#object#]mssql_fetch_field(<#resource $result#>,<#int $field_offset#>)
mssql_fetch_object	[#object#]mssql_fetch_object(<#resource $result#>)
mssql_fetch_row	[#array#]mssql_fetch_row(<#resource $result#>)
mssql_field_length	[#int#]mssql_field_length(<#resource $result#>,<#int $offset#>)
mssql_field_name	[#string#]mssql_field_name(<#resource $result#>,<#int $offset#>)
mssql_field_seek	[#bool#]mssql_field_seek(<#resource $result#>,<#int $field_offset#>)
mssql_field_type	[#string#]mssql_field_type(<#resource $result#>,<#int $offset#>)
mssql_free_result	[#bool#]mssql_free_result(<#resource $result#>)
mssql_free_statement	[#bool#]mssql_free_statement(<#resource $stmt#>)
mssql_get_last_message	[#string#]mssql_get_last_message()
mssql_guid_string	[#string#]mssql_guid_string(<#string $binary#>,<#bool $short_format#>)
mssql_init	[#resource#]mssql_init(<#string $sp_name#>,<#resource $link_identifier#>)
mssql_min_error_severity	[#void#]mssql_min_error_severity(<#int $severity#>)
mssql_min_message_severity	[#void#]mssql_min_message_severity(<#int $severity#>)
mssql_next_result	[#bool#]mssql_next_result(<#resource $result_id#>)
mssql_num_fields	[#int#]mssql_num_fields(<#resource $result#>)
mssql_num_rows	[#int#]mssql_num_rows(<#resource $result#>)
mssql_pconnect	[#resource#]mssql_pconnect(<#string $servername#>,<#string $username#>,<#string $password#>,<#bool $new_link#>)
mssql_query	[#mixed#]mssql_query(<#string $query#>,<#resource $link_identifier#>,<#int $batch_size#>)
mssql_result	[#string#]mssql_result(<#resource $result#>,<#int $row#>,<#mixed $field#>)
mssql_rows_affected	[#int#]mssql_rows_affected(<#resource $link_identifier#>)
mssql_select_db	[#bool#]mssql_select_db(<#string $database_name#>,<#resource $link_identifier#>)
mt_getrandmax	[#int#]mt_getrandmax()
mt_rand	[#int#]mt_rand()
m_transactionssent	[#int#]m_transactionssent(<#resource $conn#>)
m_transinqueue	[#int#]m_transinqueue(<#resource $conn#>)
m_transkeyval	[#int#]m_transkeyval(<#resource $conn#>,<#int $identifier#>,<#string $key#>,<#string $value#>)
m_transnew	[#int#]m_transnew(<#resource $conn#>)
m_transsend	[#int#]m_transsend(<#resource $conn#>,<#int $identifier#>)
mt_srand	[#void#]mt_srand(<#int $seed#>)
m_uwait	[#int#]m_uwait(<#int $microsecs#>)
m_validateidentifier	[#int#]m_validateidentifier(<#resource $conn#>,<#int $tf#>)
m_verifyconnection	[#bool#]m_verifyconnection(<#resource $conn#>,<#int $tf#>)
m_verifysslcert	[#bool#]m_verifysslcert(<#resource $conn#>,<#int $tf#>)
mysql_affected_rows	[#int#]mysql_affected_rows(<#resource $link_identifier#>)
mysql_client_encoding	[#string#]mysql_client_encoding(<#resource $link_identifier#>)
mysql_close	[#bool#]mysql_close(<#resource $link_identifier#>)
mysql_connect	[#resource#]mysql_connect(<#string $server#>,<#string $username#>,<#string $password#>,<#bool $new_link#>,<#int $client_flags#>)
mysql_create_db	[#bool#]mysql_create_db(<#string $database name#>,<#resource $link_identifier#>)
mysql_data_seek	[#bool#]mysql_data_seek(<#resource $result#>,<#int $row_number#>)
mysql_db_name	[#string#]mysql_db_name(<#resource $result#>,<#int $row#>,<#mixed $field#>)
mysql_db_query	[#resource#]mysql_db_query(<#string $database#>,<#string $query#>,<#resource $         link_identifier#>)
mysql_drop_db	[#bool#]mysql_drop_db(<#string $database_name#>,<#resource $         link_identifier#>)
mysql_errno	[#int#]mysql_errno(<#resource $link_identifier#>)
mysql_error	[#string#]mysql_error(<#resource $link_identifier#>)
mysql_escape_string	[#string#]mysql_escape_string(<#string $unescaped_string#>)
mysql_fetch_array	[#array#]mysql_fetch_array(<#resource $result#>,<#int $         result_type#>)
mysql_fetch_assoc	[#array#]mysql_fetch_assoc(<#resource $result#>)
mysql_fetch_field	[#object#]mysql_fetch_field(<#resource $result#>,<#int $field_offset#>)
mysql_fetch_lengths	[#array#]mysql_fetch_lengths(<#resource $result#>)
mysql_fetch_object	[#object#]mysql_fetch_object(<#resource $result#>)
mysql_fetch_row	[#array#]mysql_fetch_row(<#resource $result#>)
mysql_field_flags	[#string#]mysql_field_flags(<#resource $result#>,<#int $field_offset#>)
mysql_field_len	[#int#]mysql_field_len(<#resource $result#>,<#int $field_offset#>)
mysql_field_name	[#string#]mysql_field_name(<#resource $result#>,<#int $field_index#>)
mysql_field_seek	[#int#]mysql_field_seek(<#resource $result#>,<#int $field_offset#>)
mysql_field_table	[#string#]mysql_field_table(<#resource $result#>,<#int $field_offset#>)
mysql_field_type	[#string#]mysql_field_type(<#resource $result#>,<#int $field_offset#>)
mysql_free_result	[#bool#]mysql_free_result(<#resource $result#>)
mysql_get_client_info	[#string#]mysql_get_client_info()
mysql_get_host_info	[#string#]mysql_get_host_info(<#resource $link_identifier#>)
mysql_get_proto_info	[#int#]mysql_get_proto_info(<#resource $link_identifier#>)
mysql_get_server_info	[#string#]mysql_get_server_info(<#resource $link_identifier#>)
mysqli::disable_reads_from_master	[#void#]mysqli::disable_reads_from_master()
mysqli_disable_rpl_parse	[#bool#]mysqli_disable_rpl_parse(<#mysqli $link#>)
mysqli_enable_reads_from_master	[#bool#]mysqli_enable_reads_from_master(<#mysqli $link#>)
mysqli_enable_rpl_parse	[#bool#]mysqli_enable_rpl_parse(<#mysqli $link#>)
mysqli_get_links_stats	[#array#]mysqli_get_links_stats()
mysqli_master_query	[#bool#]mysqli_master_query(<#mysqli $link#>,<#string $query#>)
mysql_info	[#string#]mysql_info(<#resource $link_identifier#>)
mysql_insert_id	[#int#]mysql_insert_id(<#resource $link_identifier#>)
mysqli_report	[#bool#]mysqli_report(<#int $flags#>)
mysqli_rpl_parse_enabled	[#int#]mysqli_rpl_parse_enabled(<#mysqli $link#>)
mysqli_rpl_probe	[#bool#]mysqli_rpl_probe(<#mysqli $link#>)
mysqli_slave_query	[#bool#]mysqli_slave_query(<#mysqli $link#>,<#string $query#>)
mysql_list_dbs	[#resource#]mysql_list_dbs(<#resource $link_identifier#>)
mysql_list_fields	[#resource#]mysql_list_fields(<#string $database_name#>,<#string $table_name#>,<#resource $link_identifier#>)
mysql_list_processes	[#resource#]mysql_list_processes(<#resource $link_identifier#>)
mysql_list_tables	[#resource#]mysql_list_tables(<#string $database#>,<#resource $link_identifier#>)
mysqlnd_memcache_get_config	[#array#]mysqlnd_memcache_get_config(<#mixed $connection#>)
mysqlnd_memcache_set	[#bool#]mysqlnd_memcache_set(<#mixed $mysql_connection#>,<#Memcached $memcache_connection#>,<#string $pattern#>,<#callback $callback#>)
mysqlnd_ms_dump_servers	[#array#]mysqlnd_ms_dump_servers(<#mixed $connection#>)
mysqlnd_ms_fabric_select_global	[#array#]mysqlnd_ms_fabric_select_global(<#mixed $connection#>,<#mixed $table_name#>)
mysqlnd_ms_fabric_select_shard	[#array#]mysqlnd_ms_fabric_select_shard(<#mixed $connection#>,<#mixed $table_name#>,<#mixed $shard_key#>)
mysqlnd_ms_get_last_gtid	[#string#]mysqlnd_ms_get_last_gtid(<#mixed $connection#>)
mysqlnd_ms_get_last_used_connection	[#array#]mysqlnd_ms_get_last_used_connection(<#mixed $connection#>)
mysqlnd_ms_get_stats	[#array#]mysqlnd_ms_get_stats()
mysqlnd_ms_match_wild	[#bool#]mysqlnd_ms_match_wild(<#string $table_name#>,<#string $wildcard#>)
mysqlnd_ms_query_is_select	[#int#]mysqlnd_ms_query_is_select(<#string $query#>)
mysqlnd_ms_set_qos	[#bool#]mysqlnd_ms_set_qos(<#mixed $connection#>,<#int $service_level#>,<#int $service_level_option#>,<#mixed $option_value#>)
mysqlnd_ms_set_user_pick_server	[#bool#]mysqlnd_ms_set_user_pick_server(<#string $function#>)
mysqlnd_ms_xa_begin	[#int#]mysqlnd_ms_xa_begin(<#mixed $connection#>,<#string $gtrid#>,<#int $timeout#>)
mysqlnd_ms_xa_commit	[#int#]mysqlnd_ms_xa_commit(<#mixed $connection#>,<#string $gtrid#>)
mysqlnd_ms_xa_gc	[#int#]mysqlnd_ms_xa_gc(<#mixed $connection#>,<#string $gtrid#>,<#boolean $ignore_max_retries#>)
mysqlnd_ms_xa_rollback	[#int#]mysqlnd_ms_xa_rollback(<#mixed $connection#>,<#string $gtrid#>)
mysqlnd_qc_clear_cache	[#bool#]mysqlnd_qc_clear_cache()
mysqlnd_qc_get_available_handlers	[#array#]mysqlnd_qc_get_available_handlers()
mysqlnd_qc_get_cache_info	[#array#]mysqlnd_qc_get_cache_info()
mysqlnd_qc_get_core_stats	[#array#]mysqlnd_qc_get_core_stats()
mysqlnd_qc_get_normalized_query_trace_log	[#array#]mysqlnd_qc_get_normalized_query_trace_log()
mysqlnd_qc_get_query_trace_log	[#array#]mysqlnd_qc_get_query_trace_log()
mysqlnd_qc_set_cache_condition	[#bool#]mysqlnd_qc_set_cache_condition(<#int $condition_type#>,<#mixed $condition#>,<#mixed $condition_option#>)
mysqlnd_qc_set_is_select	[#mixed#]mysqlnd_qc_set_is_select(<#string $callback#>)
mysqlnd_qc_set_storage_handler	[#bool#]mysqlnd_qc_set_storage_handler(<#string $handler#>)
mysqlnd_qc_set_user_handlers	[#bool#]mysqlnd_qc_set_user_handlers(<#string $get_hash#>,<#string $find_query_in_cache#>,<#string $return_to_cache#>,<#string $add_query_to_cache_if_not_exists#>,<#string $query_is_select#>,<#string $update_query_run_time_stats#>,<#string $get_stats#>,<#string $clear_cache#>)
mysqlnd_uh_convert_to_mysqlnd	[#resource#]mysqlnd_uh_convert_to_mysqlnd(<#mysqli &$mysql_connection#>)
mysqlnd_uh_set_connection_proxy	[#bool#]mysqlnd_uh_set_connection_proxy(<#MysqlndUhConnection &$connection_proxy#>,<#mysqli &$mysqli_connection#>)
mysqlnd_uh_set_statement_proxy	[#bool#]mysqlnd_uh_set_statement_proxy(<#MysqlndUhStatement &$statement_proxy#>)
mysql_num_fields	[#int#]mysql_num_fields(<#resource $result#>)
mysql_num_rows	[#int#]mysql_num_rows(<#resource $result#>)
mysql_pconnect	[#resource#]mysql_pconnect(<#string $server#>,<#string $username#>,<#string $password#>,<#int $client_flags#>)
mysql_ping	[#bool#]mysql_ping(<#resource $        link_identifier#>)
mysql_query	[#resource#]mysql_query(<#string $query#>,<#resource $link_identifier#>)
mysql_real_escape_string	[#string#]mysql_real_escape_string(<#string $unescaped_string#>,<#resource $link_identifier#>)
mysql_result	[#mixed#]mysql_result(<#resource $result#>,<#int $row#>,<#mixed $field#>)
mysql_select_db	[#bool#]mysql_select_db(<#string $database_name#>,<#resource $         link_identifier#>)
mysql_set_charset	[#bool#]mysql_set_charset(<#string $charset#>,<#resource $link_identifier#>)
mysql_stat	[#string#]mysql_stat(<#resource $link_identifier#>)
mysql_tablename	[#string#]mysql_tablename(<#resource $result#>,<#int $i#>)
mysql_thread_id	[#int#]mysql_thread_id(<#resource $link_identifier#>)
mysql_unbuffered_query	[#resource#]mysql_unbuffered_query(<#string $query#>,<#resource $link_identifier#>)
natcasesort	[#bool#]natcasesort(<#array &$array#>)
natsort	[#bool#]natsort(<#array &$array#>)
ncurses_addch	[#int#]ncurses_addch(<#int $ch#>)
ncurses_addchnstr	[#int#]ncurses_addchnstr(<#string $s#>,<#int $n#>)
ncurses_addchstr	[#int#]ncurses_addchstr(<#string $s#>)
ncurses_addnstr	[#int#]ncurses_addnstr(<#string $s#>,<#int $n#>)
ncurses_addstr	[#int#]ncurses_addstr(<#string $text#>)
ncurses_assume_default_colors	[#int#]ncurses_assume_default_colors(<#int $fg#>,<#int $bg#>)
ncurses_attroff	[#int#]ncurses_attroff(<#int $attributes#>)
ncurses_attron	[#int#]ncurses_attron(<#int $attributes#>)
ncurses_attrset	[#int#]ncurses_attrset(<#int $attributes#>)
ncurses_baudrate	[#int#]ncurses_baudrate()
ncurses_beep	[#int#]ncurses_beep()
ncurses_bkgd	[#int#]ncurses_bkgd(<#int $attrchar#>)
ncurses_bkgdset	[#void#]ncurses_bkgdset(<#int $attrchar#>)
ncurses_border	[#int#]ncurses_border(<#int $left#>,<#int $right#>,<#int $top#>,<#int $bottom#>,<#int $tl_corner#>,<#int $tr_corner#>,<#int $bl_corner#>,<#int $br_corner#>)
ncurses_bottom_panel	[#int#]ncurses_bottom_panel(<#resource $panel#>)
ncurses_can_change_color	[#bool#]ncurses_can_change_color()
ncurses_cbreak	[#bool#]ncurses_cbreak()
ncurses_clear	[#bool#]ncurses_clear()
ncurses_clrtobot	[#bool#]ncurses_clrtobot()
ncurses_clrtoeol	[#bool#]ncurses_clrtoeol()
ncurses_color_content	[#int#]ncurses_color_content(<#int $color#>,<#int &$r#>,<#int &$g#>,<#int &$b#>)
ncurses_color_set	[#int#]ncurses_color_set(<#int $pair#>)
ncurses_curs_set	[#int#]ncurses_curs_set(<#int $visibility#>)
ncurses_define_key	[#int#]ncurses_define_key(<#string $definition#>,<#int $keycode#>)
ncurses_def_prog_mode	[#bool#]ncurses_def_prog_mode()
ncurses_def_shell_mode	[#bool#]ncurses_def_shell_mode()
ncurses_delay_output	[#int#]ncurses_delay_output(<#int $milliseconds#>)
ncurses_delch	[#bool#]ncurses_delch()
ncurses_deleteln	[#bool#]ncurses_deleteln()
ncurses_del_panel	[#bool#]ncurses_del_panel(<#resource $panel#>)
ncurses_delwin	[#bool#]ncurses_delwin(<#resource $window#>)
ncurses_doupdate	[#bool#]ncurses_doupdate()
ncurses_echo	[#bool#]ncurses_echo()
ncurses_echochar	[#int#]ncurses_echochar(<#int $character#>)
ncurses_end	[#int#]ncurses_end()
ncurses_erase	[#bool#]ncurses_erase()
ncurses_erasechar	[#string#]ncurses_erasechar()
ncurses_filter	[#void#]ncurses_filter()
ncurses_flash	[#bool#]ncurses_flash()
ncurses_flushinp	[#bool#]ncurses_flushinp()
ncurses_getch	[#int#]ncurses_getch()
ncurses_getmaxyx	[#void#]ncurses_getmaxyx(<#resource $window#>,<#int &$y#>,<#int &$x#>)
ncurses_getmouse	[#bool#]ncurses_getmouse(<#array &$mevent#>)
ncurses_getyx	[#void#]ncurses_getyx(<#resource $window#>,<#int &$y#>,<#int &$x#>)
ncurses_halfdelay	[#int#]ncurses_halfdelay(<#int $tenth#>)
ncurses_has_colors	[#bool#]ncurses_has_colors()
ncurses_has_ic	[#bool#]ncurses_has_ic()
ncurses_has_il	[#bool#]ncurses_has_il()
ncurses_has_key	[#int#]ncurses_has_key(<#int $keycode#>)
ncurses_hide_panel	[#int#]ncurses_hide_panel(<#resource $panel#>)
ncurses_hline	[#int#]ncurses_hline(<#int $charattr#>,<#int $n#>)
ncurses_inch	[#string#]ncurses_inch()
ncurses_init_color	[#int#]ncurses_init_color(<#int $color#>,<#int $r#>,<#int $g#>,<#int $b#>)
ncurses_init_pair	[#int#]ncurses_init_pair(<#int $pair#>,<#int $fg#>,<#int $bg#>)
ncurses_init	[#void#]ncurses_init()
ncurses_insch	[#int#]ncurses_insch(<#int $character#>)
ncurses_insdelln	[#int#]ncurses_insdelln(<#int $count#>)
ncurses_insertln	[#int#]ncurses_insertln()
ncurses_insstr	[#int#]ncurses_insstr(<#string $text#>)
ncurses_instr	[#int#]ncurses_instr(<#string &$buffer#>)
ncurses_isendwin	[#bool#]ncurses_isendwin()
ncurses_keyok	[#int#]ncurses_keyok(<#int $keycode#>,<#bool $enable#>)
ncurses_keypad	[#int#]ncurses_keypad(<#resource $window#>,<#bool $bf#>)
ncurses_killchar	[#string#]ncurses_killchar()
ncurses_longname	[#string#]ncurses_longname()
ncurses_meta	[#int#]ncurses_meta(<#resource $window#>,<#bool $8bit#>)
ncurses_mouseinterval	[#int#]ncurses_mouseinterval(<#int $milliseconds#>)
ncurses_mousemask	[#int#]ncurses_mousemask(<#int $newmask#>,<#int &$oldmask#>)
ncurses_mouse_trafo	[#bool#]ncurses_mouse_trafo(<#int &$y#>,<#int &$x#>,<#bool $toscreen#>)
ncurses_move	[#int#]ncurses_move(<#int $y#>,<#int $x#>)
ncurses_move_panel	[#int#]ncurses_move_panel(<#resource $panel#>,<#int $startx#>,<#int $starty#>)
ncurses_mvaddch	[#int#]ncurses_mvaddch(<#int $y#>,<#int $x#>,<#int $c#>)
ncurses_mvaddchnstr	[#int#]ncurses_mvaddchnstr(<#int $y#>,<#int $x#>,<#string $s#>,<#int $n#>)
ncurses_mvaddchstr	[#int#]ncurses_mvaddchstr(<#int $y#>,<#int $x#>,<#string $s#>)
ncurses_mvaddnstr	[#int#]ncurses_mvaddnstr(<#int $y#>,<#int $x#>,<#string $s#>,<#int $n#>)
ncurses_mvaddstr	[#int#]ncurses_mvaddstr(<#int $y#>,<#int $x#>,<#string $s#>)
ncurses_mvcur	[#int#]ncurses_mvcur(<#int $old_y#>,<#int $old_x#>,<#int $new_y#>,<#int $new_x#>)
ncurses_mvdelch	[#int#]ncurses_mvdelch(<#int $y#>,<#int $x#>)
ncurses_mvgetch	[#int#]ncurses_mvgetch(<#int $y#>,<#int $x#>)
ncurses_mvhline	[#int#]ncurses_mvhline(<#int $y#>,<#int $x#>,<#int $attrchar#>,<#int $n#>)
ncurses_mvinch	[#int#]ncurses_mvinch(<#int $y#>,<#int $x#>)
ncurses_mvvline	[#int#]ncurses_mvvline(<#int $y#>,<#int $x#>,<#int $attrchar#>,<#int $n#>)
ncurses_mvwaddstr	[#int#]ncurses_mvwaddstr(<#resource $window#>,<#int $y#>,<#int $x#>,<#string $text#>)
ncurses_napms	[#int#]ncurses_napms(<#int $milliseconds#>)
ncurses_newpad	[#resource#]ncurses_newpad(<#int $rows#>,<#int $cols#>)
ncurses_new_panel	[#resource#]ncurses_new_panel(<#resource $window#>)
ncurses_newwin	[#resource#]ncurses_newwin(<#int $rows#>,<#int $cols#>,<#int $y#>,<#int $x#>)
ncurses_nl	[#bool#]ncurses_nl()
ncurses_nocbreak	[#bool#]ncurses_nocbreak()
ncurses_noecho	[#bool#]ncurses_noecho()
ncurses_nonl	[#bool#]ncurses_nonl()
ncurses_noqiflush	[#void#]ncurses_noqiflush()
ncurses_noraw	[#bool#]ncurses_noraw()
ncurses_pair_content	[#int#]ncurses_pair_content(<#int $pair#>,<#int &$f#>,<#int &$b#>)
ncurses_panel_above	[#resource#]ncurses_panel_above(<#resource $panel#>)
ncurses_panel_below	[#resource#]ncurses_panel_below(<#resource $panel#>)
ncurses_panel_window	[#resource#]ncurses_panel_window(<#resource $panel#>)
ncurses_pnoutrefresh	[#int#]ncurses_pnoutrefresh(<#resource $pad#>,<#int $pminrow#>,<#int $pmincol#>,<#int $sminrow#>,<#int $smincol#>,<#int $smaxrow#>,<#int $smaxcol#>)
ncurses_prefresh	[#int#]ncurses_prefresh(<#resource $pad#>,<#int $pminrow#>,<#int $pmincol#>,<#int $sminrow#>,<#int $smincol#>,<#int $smaxrow#>,<#int $smaxcol#>)
ncurses_putp	[#int#]ncurses_putp(<#string $text#>)
ncurses_qiflush	[#void#]ncurses_qiflush()
ncurses_raw	[#bool#]ncurses_raw()
ncurses_refresh	[#int#]ncurses_refresh(<#int $ch#>)
ncurses_replace_panel	[#int#]ncurses_replace_panel(<#resource $panel#>,<#resource $window#>)
ncurses_reset_prog_mode	[#int#]ncurses_reset_prog_mode()
ncurses_reset_shell_mode	[#int#]ncurses_reset_shell_mode()
ncurses_resetty	[#bool#]ncurses_resetty()
ncurses_savetty	[#bool#]ncurses_savetty()
ncurses_scr_dump	[#int#]ncurses_scr_dump(<#string $filename#>)
ncurses_scr_init	[#int#]ncurses_scr_init(<#string $filename#>)
ncurses_scrl	[#int#]ncurses_scrl(<#int $count#>)
ncurses_scr_restore	[#int#]ncurses_scr_restore(<#string $filename#>)
ncurses_scr_set	[#int#]ncurses_scr_set(<#string $filename#>)
ncurses_show_panel	[#int#]ncurses_show_panel(<#resource $panel#>)
ncurses_slk_attr	[#int#]ncurses_slk_attr()
ncurses_slk_attroff	[#int#]ncurses_slk_attroff(<#int $intarg#>)
ncurses_slk_attron	[#int#]ncurses_slk_attron(<#int $intarg#>)
ncurses_slk_attrset	[#int#]ncurses_slk_attrset(<#int $intarg#>)
ncurses_slk_clear	[#bool#]ncurses_slk_clear()
