abs	[#number#]abs(<#mixed $number#>)
bbcode_set_arg_parser	[#bool#]bbcode_set_arg_parser(<#resource $bbcode_container#>,<#resource $bbcode_arg_parser#>)
bbcode_set_flags	[#bool#]bbcode_set_flags(<#resource $bbcode_container#>,<#int $flags#>,<#int $mode#>)
bcadd	[#string#]bcadd(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bccomp	[#int#]bccomp(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bcdiv	[#string#]bcdiv(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bcmod	[#string#]bcmod(<#string $left_operand#>,<#string $modulus#>)
bcmul	[#string#]bcmul(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bcompiler_load	[#bool#]bcompiler_load(<#string $filename#>)
bcompiler_load_exe	[#bool#]bcompiler_load_exe(<#string $filename#>)
bcompiler_parse_class	[#bool#]bcompiler_parse_class(<#string $class#>,<#string $callback#>)
bcompiler_read	[#bool#]bcompiler_read(<#resource $filehandle#>)
bcompiler_write_class	[#bool#]bcompiler_write_class(<#resource $filehandle#>,<#string $className#>,<#string $extends#>)
bcompiler_write_constant	[#bool#]bcompiler_write_constant(<#resource $filehandle#>,<#string $constantName#>)
bcompiler_write_exe_footer	[#bool#]bcompiler_write_exe_footer(<#resource $filehandle#>,<#int $startpos#>)
bcompiler_write_file	[#bool#]bcompiler_write_file(<#resource $filehandle#>,<#string $filename#>)
bcompiler_write_footer	[#bool#]bcompiler_write_footer(<#resource $filehandle#>)
bcompiler_write_function	[#bool#]bcompiler_write_function(<#resource $filehandle#>,<#string $functionName#>)
bcompiler_write_functions_from_file	[#bool#]bcompiler_write_functions_from_file(<#resource $filehandle#>,<#string $fileName#>)
bcompiler_write_header	[#bool#]bcompiler_write_header(<#resource $filehandle#>,<#string $write_ver#>)
bcompiler_write_included_filename	[#bool#]bcompiler_write_included_filename(<#resource $filehandle#>,<#string $filename#>)
bcpowmod	[#string#]bcpowmod(<#string $left_operand#>,<#string $right_operand#>,<#string $modulus#>,<#int $scale#>)
bcpow	[#string#]bcpow(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bcscale	[#bool#]bcscale(<#int $scale#>)
bcsqrt	[#string#]bcsqrt(<#string $operand#>,<#int $scale#>)
bcsub	[#string#]bcsub(<#string $left_operand#>,<#string $right_operand#>,<#int $scale#>)
bin2hex	[#string#]bin2hex(<#string $str#>)
bindec	[#number#]bindec(<#string $binary_string#>)
bind_textdomain_codeset	[#string#]bind_textdomain_codeset(<#string $domain#>,<#string $codeset#>)
bindtextdomain	[#string#]bindtextdomain(<#string $domain#>,<#string $directory#>)
blenc_encrypt	[#string#]blenc_encrypt(<#string $plaintext#>,<#string $encodedfile#>,<#string $encryption_key#>)
boolval	[#boolean#]boolval(<#mixed $var#>)
bson_decode	[#array#]bson_decode(<#string $bson#>)
bson_encode	[#string#]bson_encode(<#mixed $anything#>)
bzclose	[#int#]bzclose(<#resource $bz#>)
bzcompress	[#mixed#]bzcompress(<#string $source#>,<#int $blocksize#>,<#int $workfactor#>)
bzdecompress	[#mixed#]bzdecompress(<#string $source#>,<#int $small#>)
bzerrno	[#int#]bzerrno(<#resource $bz#>)
bzerror	[#array#]bzerror(<#resource $bz#>)
bzerrstr	[#string#]bzerrstr(<#resource $bz#>)
bzflush	[#int#]bzflush(<#resource $bz#>)
bzopen	[#resource#]bzopen(<#string $filename#>,<#string $mode#>)
bzread	[#string#]bzread(<#resource $bz#>,<#int $length#>)
bzwrite	[#int#]bzwrite(<#resource $bz#>,<#string $data#>,<#int $length#>)
cairo_create	[#CairoContext#]cairo_create(<#CairoSurface $surface#>)
cairo_font_face_get_type	[#int#]cairo_font_face_get_type(<#CairoFontFace $fontface#>)
cairo_font_face_status	[#int#]cairo_font_face_status(<#CairoFontFace $fontface#>)
cairo_font_options_create	[#CairoFontOptions#]cairo_font_options_create()
cairo_font_options_equal	[#bool#]cairo_font_options_equal(<#CairoFontOptions $options#>,<#CairoFontOptions $other#>)
cairo_font_options_get_antialias	[#int#]cairo_font_options_get_antialias(<#CairoFontOptions $options#>)
cairo_font_options_get_hint_metrics	[#int#]cairo_font_options_get_hint_metrics(<#CairoFontOptions $options#>)
cairo_font_options_get_hint_style	[#int#]cairo_font_options_get_hint_style(<#CairoFontOptions $options#>)
cairo_font_options_get_subpixel_order	[#int#]cairo_font_options_get_subpixel_order(<#CairoFontOptions $options#>)
cairo_font_options_hash	[#int#]cairo_font_options_hash(<#CairoFontOptions $options#>)
cairo_font_options_merge	[#void#]cairo_font_options_merge(<#CairoFontOptions $options#>,<#CairoFontOptions $other#>)
